Product code,Station number,Year,Month,Monthly Precipitation Total (mm),Quality
IDCJAC0001,86071,1855,4,69.7,Y
IDCJAC0001,86071,1855,5,43.8,Y
IDCJAC0001,86071,1855,6,46.8,Y
IDCJAC0001,86071,1855,7,44.4,Y
IDCJAC0001,86071,1855,8,21.5,Y
IDCJAC0001,86071,1855,9,105.3,Y
IDCJAC0001,86071,1855,10,67.6,Y
IDCJAC0001,86071,1855,11,41.4,Y
IDCJAC0001,86071,1855,12,101.4,Y
IDCJAC0001,86071,1856,1,60.4,Y
IDCJAC0001,86071,1856,2,24.9,Y
IDCJAC0001,86071,1856,3,71.4,Y
IDCJAC0001,86071,1856,4,121.1,Y
IDCJAC0001,86071,1856,5,75.1,Y
IDCJAC0001,86071,1856,6,71,Y
IDCJAC0001,86071,1856,7,59.8,Y
IDCJAC0001,86071,1856,8,31.1,Y
IDCJAC0001,86071,1856,9,88.6,Y
IDCJAC0001,86071,1856,10,70.6,Y
IDCJAC0001,86071,1856,11,35.4,Y
IDCJAC0001,86071,1856,12,46.7,Y
IDCJAC0001,86071,1857,1,31.2,Y
IDCJAC0001,86071,1857,2,101,Y
IDCJAC0001,86071,1857,3,96.5,Y
IDCJAC0001,86071,1857,4,25.1,Y
IDCJAC0001,86071,1857,5,50.8,Y
IDCJAC0001,86071,1857,6,50.7,Y
IDCJAC0001,86071,1857,7,29.6,Y
IDCJAC0001,86071,1857,8,43.1,Y
IDCJAC0001,86071,1857,9,97.6,Y
IDCJAC0001,86071,1857,10,134.2,Y
IDCJAC0001,86071,1857,11,53.8,Y
IDCJAC0001,86071,1857,12,21,Y
IDCJAC0001,86071,1858,1,22.4,Y
IDCJAC0001,86071,1858,2,124.8,Y
IDCJAC0001,86071,1858,3,27.7,Y
IDCJAC0001,86071,1858,4,15.5,Y
IDCJAC0001,86071,1858,5,35.3,Y
IDCJAC0001,86071,1858,6,8,Y
IDCJAC0001,86071,1858,7,63.2,Y
IDCJAC0001,86071,1858,8,36.6,Y
IDCJAC0001,86071,1858,9,61.4,Y
IDCJAC0001,86071,1858,10,22.3,Y
IDCJAC0001,86071,1858,11,75.4,Y
IDCJAC0001,86071,1858,12,169.9,Y
IDCJAC0001,86071,1859,1,72.7,Y
IDCJAC0001,86071,1859,2,20.9,Y
IDCJAC0001,86071,1859,3,4.7,Y
IDCJAC0001,86071,1859,4,32.9,Y
IDCJAC0001,86071,1859,5,59.4,Y
IDCJAC0001,86071,1859,6,114.5,Y
IDCJAC0001,86071,1859,7,27.3,Y
IDCJAC0001,86071,1859,8,22.5,Y
IDCJAC0001,86071,1859,9,72.3,Y
IDCJAC0001,86071,1859,10,49.2,Y
IDCJAC0001,86071,1859,11,53.6,Y
IDCJAC0001,86071,1859,12,26.3,Y
IDCJAC0001,86071,1860,1,50.3,Y
IDCJAC0001,86071,1860,2,2.6,Y
IDCJAC0001,86071,1860,3,49.3,Y
IDCJAC0001,86071,1860,4,115.2,Y
IDCJAC0001,86071,1860,5,28.2,Y
IDCJAC0001,86071,1860,6,31.6,Y
IDCJAC0001,86071,1860,7,40.2,Y
IDCJAC0001,86071,1860,8,20.1,Y
IDCJAC0001,86071,1860,9,49.1,Y
IDCJAC0001,86071,1860,10,70.5,Y
IDCJAC0001,86071,1860,11,55.5,Y
IDCJAC0001,86071,1860,12,133.6,Y
IDCJAC0001,86071,1861,1,59,Y
IDCJAC0001,86071,1861,2,115.8,Y
IDCJAC0001,86071,1861,3,67.4,Y
IDCJAC0001,86071,1861,4,32.9,Y
IDCJAC0001,86071,1861,5,21.6,Y
IDCJAC0001,86071,1861,6,40.2,Y
IDCJAC0001,86071,1861,7,55.8,Y
IDCJAC0001,86071,1861,8,40.9,Y
IDCJAC0001,86071,1861,9,71.8,Y
IDCJAC0001,86071,1861,10,128.6,Y
IDCJAC0001,86071,1861,11,41.6,Y
IDCJAC0001,86071,1861,12,66.2,Y
IDCJAC0001,86071,1862,1,31.8,Y
IDCJAC0001,86071,1862,2,4.9,Y
IDCJAC0001,86071,1862,3,26.4,Y
IDCJAC0001,86071,1862,4,91.2,Y
IDCJAC0001,86071,1862,5,111.7,Y
IDCJAC0001,86071,1862,6,60,Y
IDCJAC0001,86071,1862,7,67.6,Y
IDCJAC0001,86071,1862,8,54.1,Y
IDCJAC0001,86071,1862,9,21,Y
